epoch,train_loss,val_loss,train_acc,val_acc,train_spikes,val_spikes
1,3.7771763876080513,3.4798265184674944,47.6,43.5,0.3485858,0.349032
2,2.944798916578293,2.7382822377341136,47.6,43.5,0.3485858,0.349032
3,2.295590754598379,2.044729845864432,47.6,43.5,0.3485858,0.349032
4,1.6260290369391441,1.3617935010365076,47.6,43.5,0.3485858,0.349032
5,1.048157973214984,0.8342269999640328,49.6,53.0,0.3485858,0.349032
6,0.744774604216218,0.7186242256845746,59.1,60.0,0.3485858,0.349032
7,0.7154201753437519,0.7090276650020054,56.7,54.0,0.3485858,0.349032
8,0.7119185458868742,0.7006877916199821,54.5,52.5,0.3485858,0.349032
9,0.7060249093919992,0.6983192477907453,49.2,58.0,0.3485858,0.349032
10,0.7029578648507595,0.6909638898713248,50.5,45.0,0.3485858,0.349032
11,0.7023665122687817,0.6893859250204903,42.8,45.0,0.3485858,0.349032
12,0.6981201935559511,0.6869406189237323,42.5,51.5,0.3485858,0.349032
13,0.7001964841037989,0.6807646410805839,45.7,52.5,0.3485858,0.349032
14,0.6975322552025318,0.6775169202259609,43.9,52.5,0.3485858,0.349032
15,0.6949920039623976,0.677008501120976,43.6,45.0,0.3485858,0.349032
16,0.6946541126817465,0.6785735062190464,44.3,47.5,0.3485858,0.349032
17,0.6946350131183863,0.673561692237854,45.8,51.5,0.3485858,0.349032
18,0.6926264110952616,0.6722552265439715,43.6,44.0,0.3485858,0.349032
19,0.692298199981451,0.671584929738726,44.7,44.0,0.3485858,0.349032
20,0.6935182884335518,0.6726743408611843,43.5,44.0,0.3485858,0.349032
21,0.6938193924725056,0.6697070513452802,43.7,44.0,0.3485858,0.349032
22,0.6930846478790045,0.6716363940920148,43.9,46.5,0.3485858,0.349032
23,0.6930240001529455,0.6664237039429801,45.3,44.0,0.3485858,0.349032
24,0.6903595682233572,0.6642849615642002,43.8,51.5,0.3485858,0.349032
25,0.6878778878599405,0.6643178122384208,43.7,49.0,0.3485858,0.349032
26,0.6888873688876629,0.6635469113077436,43.0,51.5,0.3485858,0.349032
27,0.6831940356642008,0.6624407087053571,45.7,51.5,0.3485858,0.349032
28,0.6838714014738798,0.6673912576266697,44.7,48.5,0.3485858,0.349032
29,0.6857332102954388,0.6625845176833016,43.7,44.5,0.3485858,0.349032
30,0.6857485994696617,0.6615637200219291,45.0,51.5,0.3485858,0.349032
31,0.6834005936980247,0.659669816493988,44.1,51.5,0.3485858,0.349032
32,0.6814931966364384,0.6582969171660287,45.3,51.0,0.3485858,0.349032
33,0.6862571481615305,0.6646664312907627,47.2,48.5,0.3485858,0.349032
34,0.6810065414756536,0.6575894526072911,42.6,51.0,0.3485858,0.349032
35,0.6848194729536772,0.6588442495891026,48.3,47.0,0.3485858,0.349032
36,0.6812816858291626,0.6562673960413251,44.5,51.0,0.3485858,0.349032
37,0.6830566562712193,0.6602085062435695,44.8,46.5,0.3485858,0.349032
38,0.677852088585496,0.655182923589434,43.9,51.0,0.3485858,0.349032
39,0.6765198167413473,0.6573560748781476,46.8,44.0,0.3485858,0.349032
40,0.6782667003571987,0.6574233770370483,45.0,44.0,0.3485858,0.349032
