epoch,train_loss,val_loss,train_acc,val_acc,train_spikes,val_spikes
55,0.6662963349372149,0.6546832578522819,50.2,62.0,0.350191,0.349304
56,0.6627769637852907,0.6559883441243853,54.0,44.5,0.350191,0.349304
57,0.6605864446610212,0.6490131105695452,51.4,55.5,0.350191,0.349304
58,0.6642657034099102,0.6484369550432477,54.2,54.5,0.350191,0.349304
59,0.6621882002800703,0.6474479607173375,51.5,57.5,0.350191,0.349304
60,0.6564242243766785,0.6487939357757568,55.2,50.5,0.350191,0.349304
61,0.6617516335099936,0.6469119531767709,53.0,53.5,0.350191,0.349304
62,0.658326081931591,0.6467738577297756,51.0,53.5,0.350191,0.349304
63,0.6580283734947443,0.6459894095148359,51.2,53.5,0.350191,0.349304
64,0.6556810326874256,0.6446335060255868,54.0,58.0,0.350191,0.349304
65,0.6528407894074917,0.6442127312932696,51.1,55.0,0.350191,0.349304
66,0.6580173820257187,0.6443549054009574,55.1,53.5,0.350191,0.349304
67,0.6536958683282137,0.6440661379269191,56.4,51.0,0.350191,0.349304
68,0.6550068482756615,0.6427385977336338,51.9,62.0,0.350191,0.349304
69,0.6538679916411638,0.6445470878056118,57.1,51.0,0.350191,0.349304
70,0.6569222174584866,0.6456839953150068,54.1,51.0,0.350191,0.349304
71,0.6538030374795198,0.646665803023747,55.4,51.0,0.350191,0.349304
72,0.6520312111824751,0.6411712680544172,51.9,62.0,0.350191,0.349304
73,0.651319108903408,0.6401365654809135,53.8,62.0,0.350191,0.349304
74,0.6518479734659195,0.6444545303072248,57.5,51.0,0.350191,0.349304
75,0.6519361436367035,0.6416329315730503,50.6,57.0,0.350191,0.349304
76,0.6506449747830629,0.6385695593697684,58.1,65.0,0.350191,0.349304
77,0.6510995421558619,0.6399461116109576,53.0,51.0,0.350191,0.349304
78,0.6479842681437731,0.6389228531292507,50.9,62.0,0.350191,0.349304
79,0.6489740088582039,0.637211263179779,55.9,66.5,0.350191,0.349304
80,0.6456250846385956,0.6366181203297206,60.2,62.0,0.350191,0.349304
81,0.6466283388435841,0.6358409098216465,56.1,62.0,0.350191,0.349304
82,0.6472108848392963,0.6357079488890511,55.5,62.0,0.350191,0.349304
83,0.6466591786593199,0.6446706056594849,58.4,55.0,0.350191,0.349304
84,0.6451608557254076,0.6348109330449786,59.0,61.0,0.350191,0.349304
85,0.6458397191017866,0.6348384363310677,53.0,62.0,0.350191,0.349304
86,0.6430895961821079,0.6367194822856358,59.8,51.0,0.350191,0.349304
87,0.6446983013302088,0.6386860353606088,55.3,51.0,0.350191,0.349304
88,0.6433015111833811,0.6364524960517883,56.2,51.0,0.350191,0.349304
89,0.6434134673327208,0.6325684019497463,55.4,62.0,0.350191,0.349304
90,0.6410117484629154,0.6327081918716431,58.2,61.0,0.350191,0.349304
91,0.6442806404083967,0.632120532648904,58.6,56.5,0.350191,0.349304
92,0.6415595952421427,0.6317424774169922,61.8,62.0,0.350191,0.349304
93,0.6395918168127537,0.6304157461438861,57.4,64.5,0.350191,0.349304
94,0.6415856909006834,0.6298391478402274,57.9,66.5,0.350191,0.349304
95,0.6396818980574608,0.6316157579421997,62.8,57.5,0.350191,0.349304
96,0.6398224011063576,0.6281335439000811,60.7,69.5,0.350191,0.349304
97,0.6348744947463274,0.627999314240047,64.4,58.0,0.350191,0.349304
98,0.6377505715936422,0.6257534537996564,57.1,66.5,0.350191,0.349304
99,0.6386956591159105,0.6268230676651001,61.3,69.5,0.350191,0.349304
100,0.6387977544218302,0.6371402570179531,61.7,60.5,0.350191,0.349304
