epoch,train_loss,val_loss,train_acc,val_acc,train_spikes,val_spikes
1,4.038283720612526,3.656341927392142,47.6,43.5,0.350191,0.349304
2,3.177724651992321,2.8841735465185985,47.6,43.5,0.350191,0.349304
3,2.429251879453659,2.141514471599034,47.6,43.5,0.350191,0.349304
4,1.7050042189657688,1.4163104466029577,47.6,43.5,0.350191,0.349304
5,1.0550647377967834,0.8572425586836678,50.3,56.0,0.350191,0.349304
6,0.7441078722476959,0.7547619002205985,60.8,57.0,0.350191,0.349304
7,0.7163744121789932,0.7395683697291783,58.5,57.0,0.350191,0.349304
8,0.7123911790549755,0.7281402775219509,57.2,58.0,0.350191,0.349304
9,0.7029339037835598,0.7157930561474392,54.8,45.0,0.350191,0.349304
10,0.7033373191952705,0.7074712003980365,53.7,42.5,0.350191,0.349304
11,0.6939124334603548,0.7009358320917402,45.9,45.0,0.350191,0.349304
12,0.6942868549376726,0.6964203715324402,46.6,47.5,0.350191,0.349304
13,0.6919135097414255,0.6919502190181187,49.5,46.0,0.350191,0.349304
14,0.6931226514279842,0.6869622298649379,47.7,48.5,0.350191,0.349304
15,0.6894577033817768,0.6858470269611904,47.4,44.0,0.350191,0.349304
16,0.6884254552423954,0.683100129876818,48.1,46.0,0.350191,0.349304
17,0.68674979172647,0.6791867188044957,47.5,48.5,0.350191,0.349304
18,0.6886231303215027,0.6783432790211269,47.7,45.0,0.350191,0.349304
19,0.6845533233135939,0.6745017681803022,48.4,47.5,0.350191,0.349304
20,0.6836341787129641,0.674004580293383,46.3,49.5,0.350191,0.349304
21,0.6828206311911345,0.6734931213515145,47.9,45.0,0.350191,0.349304
22,0.6826412659138441,0.6743290679795402,48.5,48.0,0.350191,0.349304
23,0.6835197489708662,0.668818644114903,46.3,46.5,0.350191,0.349304
24,0.683608241379261,0.6686208503586906,47.8,52.0,0.350191,0.349304
25,0.6814320962876081,0.6683450000626701,47.3,48.5,0.350191,0.349304
26,0.6803533975034952,0.6664912189756121,47.2,51.0,0.350191,0.349304
27,0.6767697613686323,0.668150646345956,50.7,49.5,0.350191,0.349304
28,0.6795046254992485,0.6673386522701809,47.4,50.0,0.350191,0.349304
29,0.6769695971161127,0.6655917337962559,47.3,51.5,0.350191,0.349304
30,0.6764194313436747,0.6636869822229657,49.2,50.5,0.350191,0.349304
31,0.6759624052792788,0.6626448460987636,48.5,51.0,0.350191,0.349304
32,0.6745481956750154,0.6620416556085859,48.8,51.0,0.350191,0.349304
33,0.6760236695408821,0.6656397751399449,50.3,47.5,0.350191,0.349304
34,0.6763745155185461,0.6614734615598407,49.1,53.5,0.350191,0.349304
35,0.6749644484370947,0.6610441548483712,51.2,51.0,0.350191,0.349304
36,0.6732643283903599,0.6612821987697056,48.6,51.0,0.350191,0.349304
37,0.6754980962723494,0.6644402912684849,49.3,48.0,0.350191,0.349304
38,0.6743093952536583,0.6596844707216535,49.1,53.5,0.350191,0.349304
39,0.6717878226190805,0.6639208708490644,49.6,47.5,0.350191,0.349304
40,0.6724436078220606,0.6597938282149178,49.0,53.5,0.350191,0.349304
41,0.669930350035429,0.6566636306898934,50.6,53.5,0.350191,0.349304
42,0.6681154370307922,0.6582021032060895,50.1,51.0,0.350191,0.349304
43,0.6689506247639656,0.6557265775544303,49.2,53.5,0.350191,0.349304
44,0.6679226160049438,0.658603378704616,49.3,50.0,0.350191,0.349304
45,0.6708027664572,0.6558568733079093,49.0,53.0,0.350191,0.349304
46,0.6672862563282251,0.6552664296967643,50.4,56.0,0.350191,0.349304
47,0.6652877815067768,0.655352132661002,51.7,53.0,0.350191,0.349304
48,0.6712530553340912,0.6562299047197614,53.5,52.0,0.350191,0.349304
49,0.6719045341014862,0.6526614512716021,50.1,56.0,0.350191,0.349304
50,0.6702441480010748,0.6589889356068203,54.4,44.5,0.350191,0.349304
51,0.6625815872102976,0.6510485751288277,51.4,56.0,0.350191,0.349304
52,0.6656248830258846,0.6506374052592686,50.5,54.5,0.350191,0.349304
53,0.6635111104696989,0.65138897725514,51.7,53.5,0.350191,0.349304
54,0.6644518617540598,0.6504661781447274,52.0,56.0,0.350191,0.349304
